epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1833.65,0.52728,0.53318,1.09684,0.58803,0.50108,0.53241,0.38884,1.30493,1.82212,2.00022,0.00030808,0.00030808,0.00030808
75,1856.77,0.51538,0.52108,1.08853,0.64128,0.48757,0.54344,0.39705,1.29856,1.80166,2.02587,0.000297081,0.000297081,0.000297081
76,1879.84,0.50662,0.49434,1.07995,0.49585,0.51858,0.50914,0.3741,1.25217,1.8887,1.95805,0.000286083,0.000286083,0.000286083
77,1901.98,0.49151,0.49023,1.06675,0.64263,0.49205,0.53069,0.37748,1.28821,1.93765,1.99178,0.000275084,0.000275084,0.000275084
78,1925.56,0.48293,0.47037,1.06886,0.61046,0.54751,0.54526,0.40125,1.29621,1.87062,2.05834,0.000264085,0.000264085,0.000264085
79,1950.85,0.47596,0.47423,1.06308,0.5931,0.52811,0.53494,0.3984,1.2658,1.87785,1.99262,0.000253086,0.000253086,0.000253086
80,1979.24,0.47106,0.47639,1.06371,0.65216,0.55621,0.58111,0.41773,1.28297,1.89224,2.01996,0.000242087,0.000242087,0.000242087
81,2003.06,0.48488,0.48653,1.07138,0.62857,0.49596,0.54447,0.39697,1.30848,1.92097,2.0326,0.000231088,0.000231088,0.000231088
82,2025.86,0.47428,0.46625,1.05875,0.5991,0.55087,0.54187,0.39464,1.26305,1.98921,1.97841,0.000220089,0.000220089,0.000220089
83,2048.96,0.4669,0.44761,1.05625,0.60802,0.55782,0.54845,0.39604,1.30078,1.94255,2.04717,0.00020909,0.00020909,0.00020909
84,2072.71,0.43989,0.44286,1.0405,0.63654,0.54097,0.548,0.39643,1.26585,2.03188,2.00213,0.000198091,0.000198091,0.000198091
85,2095.18,0.45919,0.4545,1.04039,0.61049,0.53353,0.53964,0.38629,1.28957,2.04043,2.01655,0.000187092,0.000187092,0.000187092
